source_file,cylinders,bore_mm,stroke_mm,displacement_l,displacement_cyl_l,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg
40s/buick_320_i8.mr,8,87.3125,109.5375,5.2468,0.6559,6.7,209.55,1.913,45.2437,8.8138,36.5125,8.8392,265,261,112,-6.5
40s/chevrolet_216_i6.mr,6,88.9,95.25,3.5474,0.5912,6.25,173.037,1.8167,41.6719,7.4854,37.3062,7.9197,218,231,108.25,2.25
40s/chrysler_a57_1253_r30.mr,30,87.3125,114.3,20.531,0.6844,6.2,200.025,1.75,43.6563,9.6266,38.8937,9.6266,236,236,109,3
40s/ford_226_i6.mr,6,83.82,111.76,3.7002,0.6167,6.7,177.8,1.5909,41.148,8.89,37.694,8.89,232,238,107,2
40s/ford_337_v8.mr,8,88.9,111.125,5.5182,0.6898,7,177.8,1.6,45.974,9.144,40.005,9.144,239,239,108,2.5
40s/ford_gaa_1100_v8.mr,8,137.2108,152.4,18.0277,2.2535,7.5,266.7,1.75,53.848,12.7,48.26,12.7,240,240,112.5,-2.5
40s/gaz_12_213_i6.mr,6,82,110,3.4855,0.5809,6.7,202,1.8364,39,9.2,36,9.2,240,240,109,-2
40s/gaz_m20_129_i4.mr,4,82,100,2.1124,0.5281,6.2,202,2.02,38,9.2,36,9.2,240,240,109,-2
40s/graham_218_i6.mr,6,82.55,111.125,3.5685,0.5948,6.65,177.8,1.6,38.4969,7.9375,33.7344,7.9375,232,232,111.5,0
40s/kim_10_72_i4.mr,4,63.5,92.5,1.1718,0.2929,5.75,163,1.7622,29.33,7.11,26.8,7.11,244,244,110,0
40s/lincoln_292_v12.mr,12,73.025,95.25,4.7872,0.3989,7.2,187.96,1.9733,39.0398,7.4168,39.0398,7.4168,226,239,107,4.42
40s/lincoln_305_v12.mr,12,74.6125,95.25,4.9976,0.4165,7.1,187.96,1.9733,39.0398,7.4168,39.0398,7.4168,226,239,107,4.42
40s/nash_235_i6.mr,6,85.725,111.125,3.8483,0.6414,6,222.25,2,44.45,8.7312,40.4813,8.7312,275,234.5,112.62,-0.38
40s/oldsmobile_230_i6.mr,6,87.3125,104.775,3.764,0.6273,6.1,198.4375,1.8939,39.6875,7.6962,36.1156,7.5692,230,230,110,0
40s/oldsmobile_238_i6.mr,6,88.9,104.775,3.9021,0.6504,6.5,198.4375,1.8939,39.6875,7.9375,36.1156,7.9375,230,230,110,0
40s/oldsmobile_257_i8.mr,8,82.55,98.425,4.2142,0.5268,6.3,198.4375,2.0161,39.6875,7.2644,36.1156,7.9502,215,235,107.5,0
40s/packard_288_i8.mr,8,88.9,95.25,4.7299,0.5912,7,201.6125,2.1167,42.4656,8.6868,36.5125,8.6868,240,239,107.75,2.75
40s/packard_356_i8.mr,8,88.9,117.475,5.8335,0.7292,7,234.95,2,42.4656,8.6868,36.5125,8.6868,235,239,111.5,-2
40s/porsche_369_66_b4.mr,4,73.5,64,1.0862,0.2715,7,136,2.125,38,8.5,34.5,8.2,220,220,107.5,0
40s/studebaker_164_i6.mr,6,76.2,98.425,2.6931,0.4489,6.5,163.5125,1.6613,34.1313,7.9375,32.5438,7.9375,244,244,109.5,2.5
40s/studebaker_226_i6.mr,6,84.1375,111.125,3.7071,0.6178,6,206.375,1.8571,37.3062,8.7312,32.5438,8.7312,244,244,109.5,2.5
40s/studebaker_250_i8.mr,8,77.7875,107.95,4.1041,0.513,6,203.2,1.8824,35.7188,8.7312,32.5437,8.7312,244,244,109.5,2.5
40s/zis_110_367_i8.mr,8,90,118,6.0055,0.7507,6.85,235,1.9915,42.5,8.675,35.5,8.675,317.6,318.1,111.27,-19.27
40s/zis_124_339_i6.mr,6,101.6,114.3,5.56,0.9267,6,217,1.8985,48.5,10.42,44,10.42,269,269,113.5,-1
50s/buick_263_i8.mr,8,80.9625,104.775,4.3152,0.5394,6.6,193.675,1.8485,38.8937,8.8392,34.1313,8.6868,261,257,112,-5.5
50s/chevrolet_283_v8.mr,8,98.425,76.2,4.6382,0.5798,9.5,144.8562,1.901,49.276,10.127,38.1,10.127,287,287,110.5,2
